Name,Goal,Status,Currency,DeadlineDate,NamefromUrl,N_Category,N_Location,N_min_Price,N_FAQ,N_Updates,N_Comments,N_ScrapeDate,D_Target,D_backers,D_TotalAmountPledged,D_FAQ,D_updates,D_Comments,D_StartDate,D_EndDate,D_ended
Yeehaw Wand - Build anything out of thin air,25000,live,USD,01-14-2018,yeehaw-wand-experience-the-future-of-design,Technology,Shenzhen China,99,0,0,0,11-15-2017,1,375,57690,0,0,0,11-15-2017,01-14-2018,ended
PIXO Pixel - An ESP32 Based IoT RGB Display for Make/100!,6000,live,CAD,02-19-2018,pixo-pixel-an-esp32-based-iot-rgb-display-for-make,DIY Electronics,Ottawa Canada,10,0,0,1,01-30-2018,1,158,20488,0,0,0,01-30-2018,02-19-2018,ended
"\""Positive Space\"" Inspirational Space Prints",700,live,USD,02-28-2018,make-100-positive-space-inspirational-space-prints,Space Exploration,Jersey City NJ,52,0,2,1,02-15-2018,1,34,1698,0,0,0,01-29-2018,02-28-2018,ended
Mars Open: Tabletop Golf,5000,live,USD,12-05-2017,mars-open-tabletop-golf,Tabletop Games,Bryan TX,24,0,5,72,11-22-2017,1,740,26537,0,0,0,11-07-2017,12-04-2018,ended
The Wall 2061 Citygame,3500,live,EUR,02-23-2018,the-wall-2061-citygame,Live Games,Berlin Germany,5,2,0,0,01-24-2018,1,106,5518,0,0,0,01-24-2018,02-23-2018,ended
FLUSTER: Get Talking Get Deep Get Flustered.,15000,live,CAD,12-20-2017,fluster-get-talking-get-deep-get-flustered,Playing Cards,Vancouver Canada,19,9,2,3,11-22-2017,1,381,19130,0,0,0,11-05-2017,12-20-2017,ended
Betterâ€™n Your Momâ€™s Wireless Stereo Guitar Speaker & Display,2000,live,USD,12-31-2017,guitar-canvas-beautiful-wall-mountable-display-for,Sound,Santa Monica CA,35,1,5,0,12-15-2017,0,18,1619,1,9,0,12-01-2017,12-31-2018,ended
Demons: The 9th Circle of Hell UNLEASHED!!! - Commissions,5000,live,USD,11-25-2017,demons-the-9th-circle-of-hell-unleashed-commission,Tabletop Games,Atlanta GA,68,0,11,35,11-22-2017,1,72,9654,0,0,0,11-01-2017,11-24-2017,ended
Draw Your Role Playing Characters and Maps,1200,live,USD,12-01-2017,draw-your-role-playing-characters-and-maps,Tabletop Games,Brooklyn NY,10,0,1,0,11-22-2017,0,6,147,0,1,1,11-05-2017,11-30-2017,ended
Book of Dragons,18000,live,USD,12-21-2017,book-of-dragons,Tabletop Games,Charlotte NC,10,0,0,11,11-15-2017,1,1332,43959,0,0,0,11-15-2017,12-20-2017,ended
Shattered Commissions,2800,live,USD,12-01-2017,shattered-commissions,Tabletop Games,Detroit MI,40,1,5,16,11-22-2017,0,10,1077,1,7,20,11-01-2017,12-01-2018,ended
Heropath: Dragon Roar,35000,live,USD,12-31-2017,heropath-dragon-roar,Tabletop Games,Dover DE,5,0,3,32,11-22-2017,0,66,5125,0,5,38,11-01-2017,12-19-2017,ended
Envy..... size matters The NSFW Adult Card Game,2500,live,USD,12-03-2017,envy-size-matters-the-nsfw-adult-card-game,Tabletop Games,Green Bay WI,1,0,5,4,11-22-2017,1,66,3270,0,0,0,11-01-2017,12-02-2017,ended
